Indicadores do Top 5 - Meta para Taxa Over-selic - Médio Prazo Mensal - em % - Coeficiente de variação - Mensal - Período de 01/01/2019 a 12/12/2019 para jan/2020 a abr/2020  
Data;jan/2020;fev/2020;mar/2020;abr/2020;
02/01/2019;8,33;7,94;8,67;7,76;
03/01/2019;8,33;7,94;8,67;7,76;
04/01/2019;8,33;7,94;8,67;7,76;
07/01/2019;8,33;7,94;8,67;7,76;
08/01/2019;8,33;7,94;8,67;7,76;
09/01/2019;8,33;7,94;8,67;7,76;
10/01/2019;8,33;7,94;8,67;7,76;
11/01/2019;8,82;9,34;8,75;7,84;
14/01/2019;8,82;9,34;8,75;7,84;
15/01/2019;9,04;9,95;9,09;8,19;
16/01/2019;9,04;9,95;9,09;8,19;
17/01/2019;8,98;9,62;8,90;7,98;
18/01/2019;9,00;9,67;9,10;8,30;
21/01/2019;9,08;9,75;9,29;8,21;
22/01/2019;9,08;9,75;9,29;8,21;
23/01/2019;9,08;9,75;9,29;8,21;
24/01/2019;9,08;9,75;9,29;8,21;
25/01/2019;9,08;9,75;9,29;8,21;
28/01/2019;8,94;9,89;9,43;8,49;
29/01/2019;8,94;9,89;9,43;8,49;
30/01/2019;8,94;9,89;9,43;8,49;
31/01/2019;9,08;9,75;9,29;8,21;
01/02/2019;10,33;10,91;10,64;10,05;
04/02/2019;10,33;10,91;10,64;10,05;
05/02/2019;10,33;10,91;10,64;10,05;
06/02/2019;10,33;10,91;10,64;10,05;
07/02/2019;10,33;10,91;10,64;10,05;
08/02/2019;10,10;10,67;10,54;10,38;
11/02/2019;9,96;10,53;10,40;10,25;
12/02/2019;9,96;10,53;10,40;10,25;
13/02/2019;9,96;10,53;10,40;10,25;
14/02/2019;9,43;10,38;10,53;10,25;
15/02/2019;9,61;10,56;10,69;10,27;
18/02/2019;8,96;10,22;10,50;10,22;
19/02/2019;8,96;10,22;10,50;10,22;
20/02/2019;8,96;10,22;10,50;10,22;
21/02/2019;8,96;10,22;10,50;10,22;
22/02/2019;8,96;10,22;10,50;10,22;
25/02/2019;8,65;10,06;10,35;10,07;
26/02/2019;8,65;10,06;10,35;10,07;
27/02/2019;8,65;10,07;10,52;10,22;
28/02/2019;8,65;10,07;10,52;10,22;
01/03/2019;9,44;10,45;10,76;10,61;
06/03/2019;9,33;10,32;10,78;10,63;
07/03/2019;9,21;10,35;10,78;10,63;
08/03/2019;9,23;10,23;10,70;10,69;
11/03/2019;9,82;10,83;11,02;10,85;
12/03/2019;9,73;10,47;10,98;10,94;
13/03/2019;9,20;10,10;10,92;10,73;
14/03/2019;9,09;10,15;10,85;10,79;
15/03/2019;9,33;10,27;10,52;10,45;
18/03/2019;9,33;10,27;10,52;10,45;
19/03/2019;9,33;10,27;10,52;10,45;
20/03/2019;9,33;10,27;10,52;10,45;
21/03/2019;9,33;10,27;10,52;10,45;
22/03/2019;9,33;10,27;10,40;10,35;
25/03/2019;9,33;10,27;10,40;10,35;
26/03/2019;9,33;10,27;10,40;10,35;
27/03/2019;9,33;10,27;10,40;10,35;
28/03/2019;9,20;10,15;10,28;10,23;
29/03/2019;7,89;9,02;9,34;9,60;
01/04/2019;7,89;9,02;9,34;9,60;
02/04/2019;7,89;9,02;9,34;9,60;
03/04/2019;7,89;9,02;9,34;9,60;
04/04/2019;7,89;9,02;9,34;9,60;
05/04/2019;7,89;9,04;9,49;9,62;
08/04/2019;7,89;9,04;9,49;9,62;
09/04/2019;7,89;9,04;9,49;9,62;
10/04/2019;7,04;8,67;8,98;9,43;
11/04/2019;7,04;8,53;8,85;9,16;
12/04/2019;7,39;8,88;9,20;9,65;
15/04/2019;7,72;9,36;9,68;10,12;
16/04/2019;7,56;9,03;9,36;9,80;
17/04/2019;7,56;9,03;9,36;9,80;
18/04/2019;7,58;9,06;9,38;10,02;
22/04/2019;7,58;9,06;9,38;10,02;
23/04/2019;7,58;9,06;9,38;10,02;
24/04/2019;7,58;9,08;9,26;10,05;
25/04/2019;7,58;9,08;9,26;10,05;
26/04/2019;7,58;9,08;9,26;10,05;
29/04/2019;7,58;9,08;9,10;9,89;
30/04/2019;7,41;8,91;9,10;9,89;
02/05/2019;7,41;8,91;9,10;9,89;
03/05/2019;7,62;9,28;8,96;9,62;
06/05/2019;7,62;9,28;8,96;9,62;
07/05/2019;7,02;8,07;8,09;9,04;
08/05/2019;7,35;8,41;8,41;9,36;
09/05/2019;7,37;8,44;8,61;9,55;
10/05/2019;7,37;8,44;8,61;9,41;
13/05/2019;7,54;8,61;8,78;9,58;
14/05/2019;7,37;8,44;8,61;9,43;
15/05/2019;7,73;8,80;8,82;9,66;
16/05/2019;7,93;9,00;9,39;9,91;
17/05/2019;7,64;8,28;8,40;9,46;
20/05/2019;7,64;8,28;8,40;9,46;
21/05/2019;7,64;8,28;8,40;9,46;
